ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
x1,0.000,0.0,0.677,0.761,0.0,0.651,0.0,0.928,0.0,0.800,0.0,0.0,0.718,0.0
x2,0.748,0.0,0.600,0.870,0.0,0.604,0.0,0.775,0.0,0.746,0.0,0.0,0.645,0.0
x3,0.677,0.0,0.000,0.614,0.0,0.845,0.0,0.679,0.0,0.750,0.0,0.0,0.858,0.0
x4,0.761,0.0,0.614,0.000,0.0,0.605,0.0,0.780,0.0,0.768,0.0,0.0,0.671,0.0
x5,0.659,0.0,0.771,0.591,0.0,0.838,0.0,0.669,0.0,0.705,0.0,0.0,0.717,0.0
x6,0.651,0.0,0.845,0.605,0.0,0.000,0.0,0.661,0.0,0.735,0.0,0.0,0.786,0.0
x7,0.715,0.0,0.618,0.887,0.0,0.609,0.0,0.734,0.0,0.762,0.0,0.0,0.681,0.0
x8,0.928,0.0,0.679,0.780,0.0,0.661,0.0,0.000,0.0,0.822,0.0,0.0,0.721,0.0
x9,0.814,0.0,0.609,0.844,0.0,0.600,0.0,0.840,0.0,0.747,0.0,0.0,0.652,0.0
x10,0.800,0.0,0.750,0.768,0.0,0.735,0.0,0.822,0.0,0.000,0.0,0.0,0.823,0.0
x11,0.836,0.0,0.611,0.802,0.0,0.600,0.0,0.836,0.0,0.741,0.0,0.0,0.651,0.0
x12,0.668,0.0,0.890,0.615,0.0,0.925,0.0,0.678,0.0,0.752,0.0,0.0,0.817,0.0
x13,0.718,0.0,0.858,0.671,0.0,0.785,0.0,0.722,0.0,0.823,0.0,0.0,0.000,0.0
x14,0.672,0.0,0.897,0.593,0.0,0.829,0.0,0.671,0.0,0.720,0.0,0.0,0.794,0.0

