ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
x1,0.0,0.0,0.0,0.0,0.0,0.0,2605.916,2605.916,2605.916,2605.916,3410.933,2627.442,2627.442,1617.495
x2,0.0,0.0,3.464,3.464,3.464,3.464,2605.923,2605.923,2605.923,2605.923,3410.945,2627.457,2627.457,1617.486
x3,0.0,0.0,0.0,0.0,0.0,0.0,2605.916,2605.916,2605.916,2605.916,3410.933,2627.442,2627.442,1617.495
x4,0.0,0.0,0.0,0.0,0.0,0.0,2605.916,2605.916,2605.916,2605.916,3410.933,2627.442,2627.442,1617.495
x5,0.0,0.0,0.0,0.0,0.0,0.0,2605.916,2605.916,2605.916,2605.916,3410.933,2627.442,2627.442,1617.495
x6,0.0,0.0,0.0,0.0,0.0,0.0,2605.916,2605.916,2605.916,2605.916,3410.933,2627.442,2627.442,1617.495
x7,0.0,0.0,2605.916,2605.916,2605.916,2605.916,0.0,0.0,0.0,0.0,806.233,205.554,205.554,4219.731
x8,0.0,0.0,2605.916,2605.916,2605.916,2605.916,0.0,0.0,0.0,0.0,806.233,205.554,205.554,4219.731
x9,0.0,0.0,2605.916,2605.916,2605.916,2605.916,0.0,0.0,0.0,0.0,806.233,205.554,205.554,4219.731
x10,0.0,0.0,2605.916,2605.916,2605.916,2605.916,0.0,0.0,0.0,0.0,806.233,205.554,205.554,4219.731
x11,0.0,0.0,3410.933,3410.933,3410.933,3410.933,806.233,806.233,806.233,806.233,0.0,807.004,807.004,5025.649
x12,0.0,0.0,2627.442,2627.442,2627.442,2627.442,205.554,205.554,205.554,205.554,807.004,0.0,0.0,4244.498
x13,0.0,0.0,2627.442,2627.442,2627.442,2627.442,205.554,205.554,205.554,205.554,807.004,0.0,0.0,4244.498
x14,0.0,0.0,1617.495,1617.495,1617.495,1617.495,4219.731,4219.731,4219.731,4219.731,5025.649,4244.498,4244.498,0.0
