ID,year,engine_cc,cylinder,valves_per_cylinder,power_ps,torque_nm,engine_compression,doors,hwy,mixed,city,fuel_cap_l
15,2022,3600,6.0,4.0,323.0,278.0,11.5,2.0,28.0,20.0,17.0,19.0
16,2022,3600,6.0,4.0,323.0,278.0,11.5,2.0,30.0,22.0,19.0,19.0
17,2022,3600,6.0,4.0,323.0,278.0,11.5,2.0,28.0,20.0,17.0,19.0
18,2022,3600,6.0,4.0,323.0,278.0,11.5,2.0,28.0,20.0,17.0,19.0
19,2022,3600,6.0,4.0,323.0,278.0,11.5,2.0,28.0,20.0,17.0,19.0
20,2022,3600,6.0,4.0,323.0,278.0,11.5,2.0,28.0,20.0,17.0,19.0
21,2022,6200,8.0,2.0,426.0,420.0,10.7,2.0,24.0,19.0,16.0,19.0
22,2022,6200,8.0,2.0,426.0,420.0,10.7,2.0,24.0,19.0,16.0,19.0
23,2022,6200,8.0,2.0,426.0,420.0,10.7,2.0,24.0,19.0,16.0,19.0
24,2022,6200,8.0,2.0,426.0,420.0,10.7,2.0,24.0,19.0,16.0,19.0
25,2022,7000,8.0,2.0,505.0,481.0,11,2.0,19.0,15.0,13.0,19.0
26,2022,6200,8.0,2.0,580.0,556.0,9.1,2.0,19.0,16.0,14.0,19.0
27,2022,6200,8.0,2.0,580.0,556.0,9.1,2.0,19.0,16.0,14.0,19.0
28,2022,2000,4.0,4.0,131.0,139.0,9.7,4.0,26.0,25.0,24.0,15.0
29,2022,2000,4.0,4.0,131.0,139.0,9.7,4.0,26.0,25.0,24.0,15.0
30,2022,2500,4.0,4.0,200.0,191.0,11.3,4.0,26.0,22.0,19.0,21.0
31,2022,3600,6.0,4.0,305.0,269.0,11.5,4.0,24.0,20.0,17.0,21.0
32,2022,3600,6.0,4.0,305.0,269.0,11.5,4.0,24.0,20.0,17.0,21.0
33,2022,3600,6.0,4.0,305.0,269.0,11.5,4.0,26.0,21.0,18.0,21.0
34,2022,2500,4.0,4.0,200.0,191.0,11.3,4.0,27.0,22.0,20.0,21.0
35,2022,2500,4.0,4.0,200.0,191.0,11.3,4.0,25.0,21.0,19.0,21.0
36,2022,2500,4.0,4.0,200.0,191.0,11.3,4.0,27.0,22.0,20.0,21.0
37,2022,3600,6.0,4.0,305.0,269.0,11.5,4.0,24.0,20.0,17.0,21.0
38,2022,3600,6.0,4.0,305.0,269.0,11.5,4.0,24.0,20.0,17.0,21.0
39,2022,3600,6.0,4.0,305.0,269.0,11.5,4.0,26.0,21.0,18.0,21.0
40,2022,2500,4.0,4.0,200.0,191.0,11.3,4.0,27.0,22.0,20.0,21.0
41,2022,2500,4.0,4.0,200.0,191.0,11.3,4.0,25.0,21.0,19.0,21.0
42,2022,2500,4.0,4.0,200.0,191.0,11.3,4.0,26.0,22.0,19.0,21.0
43,2022,3600,6.0,4.0,305.0,269.0,11.5,4.0,24.0,20.0,17.0,21.0
44,2022,3600,6.0,4.0,305.0,269.0,11.5,4.0,24.0,20.0,17.0,21.0
45,2022,3600,6.0,4.0,305.0,269.0,11.5,4.0,26.0,21.0,18.0,21.0
46,2022,2500,4.0,4.0,200.0,191.0,11.3,4.0,27.0,22.0,20.0,21.0
47,2022,2500,4.0,4.0,200.0,191.0,11.3,4.0,25.0,21.0,19.0,21.0
48,2022,2500,4.0,4.0,200.0,191.0,11.3,4.0,27.0,22.0,20.0,21.0
67,2022,1400,4.0,4.0,138.0,148.0,9.5,4.0,38.0,30.0,26.0,16.0
68,2022,1400,4.0,4.0,138.0,148.0,9.5,4.0,38.0,30.0,26.0,16.0
69,2022,1400,4.0,4.0,138.0,148.0,9.5,4.0,38.0,30.0,26.0,16.0
70,2022,2000,4.0,4.0,148.0,258.0,16.5,4.0,46.0,33.0,27.0,16.0
71,2022,1400,4.0,4.0,138.0,148.0,9.5,4.0,39.0,31.0,26.0,16.0
72,2022,1400,4.0,4.0,138.0,148.0,9.5,4.0,42.0,33.0,28.0,13.0
73,2022,1800,4.0,4.0,138.0,125.0,10.5,4.0,35.0,27.0,22.0,16.0
74,2022,1800,4.0,4.0,138.0,125.0,10.5,4.0,36.0,29.0,25.0,16.0
75,2022,1400,4.0,4.0,138.0,148.0,9.5,4.0,38.0,30.0,26.0,16.0
76,2022,2400,4.0,4.0,182.0,172.0,11.2,4.0,32.0,26.0,22.0,19.0
77,2022,2400,4.0,4.0,182.0,172.0,11.2,4.0,29.0,23.0,20.0,19.0
78,2022,2400,4.0,4.0,182.0,172.0,11.2,4.0,29.0,23.0,20.0,19.0
79,2022,2400,4.0,4.0,182.0,172.0,11.2,4.0,29.0,23.0,20.0,19.0
80,2022,2400,4.0,4.0,182.0,172.0,11.2,4.0,32.0,26.0,22.0,19.0
81,2022,2400,4.0,4.0,182.0,172.0,11.2,4.0,32.0,26.0,22.0,19.0
82,2022,2400,4.0,4.0,182.0,172.0,11.2,4.0,32.0,26.0,22.0,19.0
83,2022,2400,4.0,4.0,182.0,172.0,11.2,4.0,29.0,23.0,20.0,19.0
84,2022,4800,8.0,2.0,285.0,295.0,8.8,3.0,17.0,13.0,11.0,31.0
