ID,year,engine_cc,cylinder,valves_per_cylinder,power_ps,torque_nm,engine_compression,doors,hwy,mixed,city,fuel_cap_l
15,2022,3600,6.0,4.0,323.0,278.0,11.5,2.0,28.0,20.0,17.0,19.0
16,2022,3600,6.0,4.0,323.0,278.0,11.5,2.0,30.0,22.0,19.0,19.0
17,2022,3600,6.0,4.0,323.0,278.0,11.5,2.0,28.0,20.0,17.0,
18,2022,3600,6.0,4.0,323.0,278.0,11.5,2.0,28.0,20.0,17.0,
19,2022,3600,6.0,4.0,323.0,278.0,11.5,2.0,28.0,20.0,17.0,
20,2022,3600,6.0,4.0,323.0,278.0,11.5,2.0,28.0,20.0,17.0,
21,2022,6200,8.0,2.0,426.0,420.0,10.7,2.0,24.0,19.0,16.0,
22,2022,6200,8.0,2.0,426.0,420.0,10.7,2.0,24.0,19.0,16.0,
23,2022,6200,8.0,2.0,426.0,420.0,10.7,2.0,24.0,19.0,16.0,
24,2022,6200,8.0,2.0,426.0,420.0,10.7,2.0,24.0,19.0,16.0,
25,2022,7000,8.0,2.0,505.0,481.0,11,2.0,19.0,15.0,13.0,
26,2022,6200,8.0,2.0,580.0,556.0,9.1,2.0,19.0,16.0,,
27,2022,6200,8.0,2.0,580.0,556.0,9.1,2.0,19.0,16.0,,
28,2022,2000,4.0,4.0,131.0,139.0,9.7,4.0,26.0,25.0,,
