mechanism,percentage_missing,avg_nrmse,min_nrmse,max_nrmse,used_nrmse_values,nrmse_values
MCAR,0.05,0.08519549579247447,0.05437373361296154,0.11843628753677025,"[0.05437373361296154, 0.05567721698512918, 0.06417406929549622, 0.07454478057640727, 0.07634290441594092, 0.07755443313522119, 0.07945414835232063, 0.08031162897608471, 0.08234012962113464, 0.08606182742303883, 0.08647467318586642, 0.09032687473446381, 0.090877108251797, 0.09172045147725578, 0.09363994316597408, 0.09458999307455616, 0.09546117204956082, 0.10314914476400122, 0.108399395215509, 0.11843628753677025]","[0.05437373361296154, 0.05567721698512918, 0.06417406929549622, 0.07454478057640727, 0.07634290441594092, 0.07755443313522119, 0.07945414835232063, 0.08031162897608471, 0.08234012962113464, 0.08606182742303883, 0.08647467318586642, 0.09032687473446381, 0.090877108251797, 0.09172045147725578, 0.09363994316597408, 0.09458999307455616, 0.09546117204956082, 0.10314914476400122, 0.108399395215509, 0.11843628753677025, 0.1252272391959117, 0.12542337103982176, 0.13240966423193432, 0.13625039424250301, 0.1494696494891317, 0.15704558853614833, 0.16827881685812845, 0.17279449658997045, 0.18181445631098087, 0.18325251690924396, 0.19990271672967722, 0.20560823188659588, 0.21172055596859918, 0.23331275521528516, 0.24147812500764063, 0.3818113442974094, 0.40099784556162604, 0.4397157621153895, 0.5476865318479404, 0.6082253360449106]"
MAR,0.05,0.14453743595198554,0.002268784374624365,0.2962182829606205,"[0.002268784374624365, 0.004367108725833707, 0.04734941092244111, 0.05428718822249328, 0.05866090438755032, 0.08982614963176946, 0.09765253017287223, 0.1066580835797125, 0.12154579367437139, 0.14294959980274966, 0.14681638683397308, 0.16263282818495148, 0.16799700531408227, 0.17506090954925563, 0.20053661506345813, 0.2204223271705688, 0.2407934222134868, 0.26358133966030295, 0.29112404859459307, 0.2962182829606205]","[0.002268784374624365, 0.004367108725833707, 0.04734941092244111, 0.05428718822249328, 0.05866090438755032, 0.08982614963176946, 0.09765253017287223, 0.1066580835797125, 0.12154579367437139, 0.14294959980274966, 0.14681638683397308, 0.16263282818495148, 0.16799700531408227, 0.17506090954925563, 0.20053661506345813, 0.2204223271705688, 0.2407934222134868, 0.26358133966030295, 0.29112404859459307, 0.2962182829606205, 0.37431004536445134, 0.38979563472547757, 0.40297343649477596, 0.40826387441834683, 0.4133688308694447, 0.4536994110679604, 0.5034976955446572, 0.5074438932072254, 0.5669343272808005, 0.5802118873615241, 0.6014195509295053, 0.7837608671004977, 0.7849175558599578, 0.7862364174901826, 0.9144854767529135, 1.2133389203760436, 1.3962919574487447, 1.456134073249804, 1.5000234948270408, 3.1192571510427634]"
MNAR,0.05,0.11317699434702284,0.0038237873251219827,0.3185752034293189,"[0.0038237873251219827, 0.004519477535465463, 0.01043940723240488, 0.02980896297056804, 0.03316595387816189, 0.03586354841352453, 0.0457027199299133, 0.048995032780136095, 0.0530666683138575, 0.07978687362975972, 0.12699919816477576, 0.13995943645290118, 0.14508755501542, 0.1648040171514162, 0.17580405511882385, 0.18096400685624658, 0.1824946077348955, 0.20876124822651163, 0.2749181267812341, 0.3185752034293189]","[0.0038237873251219827, 0.004519477535465463, 0.01043940723240488, 0.02980896297056804, 0.03316595387816189, 0.03586354841352453, 0.0457027199299133, 0.048995032780136095, 0.0530666683138575, 0.07978687362975972, 0.12699919816477576, 0.13995943645290118, 0.14508755501542, 0.1648040171514162, 0.17580405511882385, 0.18096400685624658, 0.1824946077348955, 0.20876124822651163, 0.2749181267812341, 0.3185752034293189, 0.3403820787819272, 0.35317239762281716, 0.3553090676838564, 0.40287832877489266, 0.40297343649477596, 0.42097852253159174, 0.45884548169551886, 0.48693241757926703, 0.5149561607180446, 0.5260220271441145, 0.6041866888019278, 0.6157980041474042, 0.6224670819527055, 0.6292027803617041, 0.6646950838531019, 0.834286392226228, 0.9228074123919857, 1.6415395283094085, 1.8515478180165907, 28.157193287204596]"
MCAR,0.1,0.12821831862437558,0.07365015248542749,0.1827907578522526,"[0.07365015248542749, 0.08586226924127155, 0.08689163402786286, 0.09386752785245765, 0.10078682624177421, 0.10691984283114112, 0.11093698952210543, 0.11771145192661037, 0.11865679694543405, 0.11937655079522559, 0.12399689809663433, 0.13976442290229946, 0.1408485201932532, 0.1473386171115678, 0.1525847648261885, 0.15670017276386897, 0.16318461250118296, 0.1656146330989418, 0.17688293127201146, 0.1827907578522526]","[0.07365015248542749, 0.08586226924127155, 0.08689163402786286, 0.09386752785245765, 0.10078682624177421, 0.10691984283114112, 0.11093698952210543, 0.11771145192661037, 0.11865679694543405, 0.11937655079522559, 0.12399689809663433, 0.13976442290229946, 0.1408485201932532, 0.1473386171115678, 0.1525847648261885, 0.15670017276386897, 0.16318461250118296, 0.1656146330989418, 0.17688293127201146, 0.1827907578522526, 0.19032946951916907, 0.204409561393214, 0.20727100062965545, 0.21372299587025714, 0.2286926181100312, 0.23730956017499916, 0.24852221563792978, 0.28409428806949233, 0.2932355910380914, 0.2942959233582845, 0.3009087217702279, 0.30807331757353, 0.31802974882289237, 0.32732688129952664, 0.33523888571174143, 0.3708459412042518, 0.37733265262570004, 0.4895972330302407, 1.4436905535564406, 94.96691692951765]"
MAR,0.1,0.24028239679775668,0.021303104950809587,0.44352299469948364,"[0.021303104950809587, 0.08185558611427501, 0.09502607387333095, 0.11380491924545356, 0.11631235232887117, 0.13411572142895972, 0.14108586766405043, 0.14580670391987502, 0.18687182753616693, 0.21314385727458782, 0.2372945157231952, 0.2614701876693188, 0.2962690582921514, 0.35201830018696934, 0.3701036835009077, 0.3770998660798999, 0.39865078403648074, 0.40800433233795813, 0.41188819909238866, 0.44352299469948364]","[0.021303104950809587, 0.08185558611427501, 0.09502607387333095, 0.11380491924545356, 0.11631235232887117, 0.13411572142895972, 0.14108586766405043, 0.14580670391987502, 0.18687182753616693, 0.21314385727458782, 0.2372945157231952, 0.2614701876693188, 0.2962690582921514, 0.35201830018696934, 0.3701036835009077, 0.3770998660798999, 0.39865078403648074, 0.40800433233795813, 0.41188819909238866, 0.44352299469948364, 0.4649967092068559, 0.5941822405528043, 0.595276588168983, 0.5960105811498407, 0.6049513602488711, 0.6314440134385308, 0.637114297365702, 0.7019543815651639, 0.715752049592188, 0.7306919015865084, 1.1298044472670195, 1.370647646158551, 1.4252138289820433, 1.5170598879683366, 1.5957172695882798, 1.604486408776267, 2.0143787359397662, 2.3492904790508793, 2.449703044693994, 10.518624586012695]"
MNAR,0.1,0.3283782671649267,0.07708954772400702,0.6326065890257511,"[0.07708954772400702, 0.07904392131434124, 0.08971904333087381, 0.12662680649105726, 0.13095158189445794, 0.13276536535816036, 0.18173079559527877, 0.18903407271016529, 0.23283669809413554, 0.33034754108714026, 0.3542313944207379, 0.3556407089273326, 0.41974565691635685, 0.448600782062978, 0.46600392499041626, 0.5486204709995368, 0.5802344568810595, 0.593156927641078, 0.5985790578336695, 0.6326065890257511]","[0.07708954772400702, 0.07904392131434124, 0.08971904333087381, 0.12662680649105726, 0.13095158189445794, 0.13276536535816036, 0.18173079559527877, 0.18903407271016529, 0.23283669809413554, 0.33034754108714026, 0.3542313944207379, 0.3556407089273326, 0.41974565691635685, 0.448600782062978, 0.46600392499041626, 0.5486204709995368, 0.5802344568810595, 0.593156927641078, 0.5985790578336695, 0.6326065890257511, 0.6496553083188781, 0.6765354396826523, 0.69810326633294, 0.7339491272993386, 0.7407658212136918, 0.7624285248322124, 0.8409102319525198, 0.8780665035713152, 0.8861628736362995, 0.8942434127815088, 0.9053593778670658, 0.9512073832230693, 0.9798286644540728, 0.9798742488975621, 1.0115451731146683, 1.1212203711505522, 1.639723721221685, 2.051487368554589, 10.181764569132856, 39.40626961735954]"
MCAR,0.2,0.20372437672626703,0.12163842337439873,0.2734396085604595,"[0.12163842337439873, 0.12503433748469384, 0.12775929667423733, 0.15963551649694938, 0.17311919330182388, 0.1798023242362408, 0.1839759646730886, 0.1938480304037656, 0.19430588745187372, 0.19723509076806148, 0.19924829777723002, 0.20927060222471341, 0.22918103724699487, 0.23434893674171747, 0.2410443588921802, 0.24539275905903382, 0.2556015878809059, 0.2617245568820324, 0.26888172439494, 0.2734396085604595]","[0.12163842337439873, 0.12503433748469384, 0.12775929667423733, 0.15963551649694938, 0.17311919330182388, 0.1798023242362408, 0.1839759646730886, 0.1938480304037656, 0.19430588745187372, 0.19723509076806148, 0.19924829777723002, 0.20927060222471341, 0.22918103724699487, 0.23434893674171747, 0.2410443588921802, 0.24539275905903382, 0.2556015878809059, 0.2617245568820324, 0.26888172439494, 0.2734396085604595, 0.27484419049711256, 0.2772921713578126, 0.2836731673477937, 0.2939857022072927, 0.3101661894511286, 0.3137987025519935, 0.32848265289552153, 0.34013743073093256, 0.34780930871647564, 0.35643719675584956, 0.35940153500637245, 0.4142944395485038, 0.43116295430093643, 0.4971983441902224, 0.49911588822987496, 0.5415082372962078, 0.5551772904486867, 1.024223409343698, 21.362017538460545, 118.37315518103816]"
MAR,0.2,0.389735422838447,0.10078977436032469,0.8307099647701898,"[0.10078977436032469, 0.12782838159607793, 0.15353515736079015, 0.1676173491461156, 0.20482767499499105, 0.22746519865041923, 0.2599680631074245, 0.31556736345151215, 0.33388603363326796, 0.33563084669282595, 0.3399989312218022, 0.45403155682441493, 0.4920477501105673, 0.5008884348472511, 0.519477126822604, 0.5411243523581143, 0.5976133735830612, 0.626531474001019, 0.6651696492361665, 0.8307099647701898]","[0.10078977436032469, 0.12782838159607793, 0.15353515736079015, 0.1676173491461156, 0.20482767499499105, 0.22746519865041923, 0.2599680631074245, 0.31556736345151215, 0.33388603363326796, 0.33563084669282595, 0.3399989312218022, 0.45403155682441493, 0.4920477501105673, 0.5008884348472511, 0.519477126822604, 0.5411243523581143, 0.5976133735830612, 0.626531474001019, 0.6651696492361665, 0.8307099647701898, 0.8525068669033719, 0.8657156680946023, 0.8684891985635628, 0.8896031613976676, 0.9418575998175204, 0.9805423538305462, 0.9902468806031818, 1.005509155261703, 1.0394931942132242, 1.3162932212428453, 1.3835567762300558, 1.398340161837161, 1.4605667792693842, 1.4649145841479456, 1.5041257663595025, 1.8538269311350284, 1.8690373528533322, 2.0422284892632963, 580.7103887082767, 24303.252088558067]"
MNAR,0.2,0.6325202871166736,0.3285727570161186,0.9571216386136224,"[0.3285727570161186, 0.35621488791995176, 0.39708888024475947, 0.39887488717296743, 0.44607429834021506, 0.4676854760430318, 0.47717941928679375, 0.5012238405705878, 0.5249668264160916, 0.6299137459198045, 0.6487364531620887, 0.7605660993645668, 0.7671985929329267, 0.7721708148601237, 0.7762213199044746, 0.7800434472251669, 0.7817534241704706, 0.9282692363853213, 0.9505296967843874, 0.9571216386136224]","[0.3285727570161186, 0.35621488791995176, 0.39708888024475947, 0.39887488717296743, 0.44607429834021506, 0.4676854760430318, 0.47717941928679375, 0.5012238405705878, 0.5249668264160916, 0.6299137459198045, 0.6487364531620887, 0.7605660993645668, 0.7671985929329267, 0.7721708148601237, 0.7762213199044746, 0.7800434472251669, 0.7817534241704706, 0.9282692363853213, 0.9505296967843874, 0.9571216386136224, 0.9742627422412617, 0.99210376264868, 1.0004485797885956, 1.0755166058278534, 1.1266175421652262, 1.279411522393153, 1.420343186097051, 1.4330475958519562, 1.4684206964997397, 1.4920270576876766, 1.5979675931155626, 2.9577103902891664, 3.370938023411213, 7.4460853231221735, 25.205965514899756, 92.8124789205022, 255.07460223890843, 2120.0297419883077, 44978.9041333238, 109149.20790948872]"
MCAR,0.3,0.26055497719341403,0.18575517345020556,0.30361622523285703,"[0.18575517345020556, 0.20901555979501024, 0.2167708382876071, 0.23536993785313354, 0.23596064184934903, 0.2538872981540897, 0.25592346116876924, 0.25617512187151753, 0.2611331287441196, 0.26227799371127464, 0.2641850874229274, 0.2660778171786287, 0.271424166804844, 0.27833264682882763, 0.2815118253417001, 0.286037260271768, 0.28862258392271484, 0.29908621203262487, 0.2999365639463113, 0.30361622523285703]","[0.18575517345020556, 0.20901555979501024, 0.2167708382876071, 0.23536993785313354, 0.23596064184934903, 0.2538872981540897, 0.25592346116876924, 0.25617512187151753, 0.2611331287441196, 0.26227799371127464, 0.2641850874229274, 0.2660778171786287, 0.271424166804844, 0.27833264682882763, 0.2815118253417001, 0.286037260271768, 0.28862258392271484, 0.29908621203262487, 0.2999365639463113, 0.30361622523285703, 0.3181647933193399, 0.32250540472173783, 0.326176614866945, 0.32664991223295553, 0.33316616778760105, 0.33625190935923177, 0.36627213550471543, 0.44514839056673067, 0.45139830458302044, 0.4542307962145821, 0.4964160563535016, 0.5060297781032365, 0.5688673423430226, 0.6398972577832026, 0.8478504010621635, 1.9828109089474912, 5.8133987698804805, 11.452139519679294, 20.26219392881116, 592.6236567281746]"
